Country Name,Population (2014)
Spain,46480882
United Kingdom,64602298
Guinea,11150977
Italy,60789140
Liberia,4359505
Mali,16934220
Nigeria,176404902
Senegal,14174731
Sierra Leone,7017144
United States of America,318301008
