Date,Month ,Day,Country,Cumulative number of case(s),Number of deaths,Number recovered,,,,,
14-Apr-03,April,14,United States,174,0,0,,,,,
15-Apr-03,April,15,United States,193,0,0,,,,,
16-Apr-03,April,16,United States,193,0,0,,,,,
17-Apr-03,April,17,United States,199,0,0,,,,,
18-Apr-03,April,18,United States,220,0,0,,,,,
19-Apr-03,April,19,United States,220,0,0,,,,,
21-Apr-03,April,21,United States,220,0,0,,,,,
22-Apr-03,April,22,United States,220,0,0,,,,,
23-Apr-03,April,23,United States,220,0,0,,,,,
24-Apr-03,April,24,United States,220,0,0,,,,,
25-Apr-03,April,25,United States,220,0,0,,,,,
26-Apr-03,April,26,United States,220,0,0,,,,,
28-Apr-03,April,28,United States,220,0,0,,,,,
29-Apr-03,April,29,United States,220,0,0,,,,,
30-Apr-03,April,30,United States,220,0,0,,,,,
1-May-03,May,1,United States,220,0,23,,,,,
2-May-03,May,2,United States,220,0,24,,,,,
3-May-03,May,3,United States,220,0,24,,,,,
5-May-03,May,5,United States,220,0,26,,,,,
6-May-03,May,6,United States,220,0,32,,,,,
7-May-03,May,7,United States,220,0,32,,,,,
8-May-03,May,8,United States,220,0,33,,,,,
9-May-03,May,9,United States,220,0,33,,,,,
10-May-03,May,10,United States,220,0,34,,,,,
12-May-03,May,12,United States,220,0,34,,,,,
13-May-03,May,13,United States,220,0,35,,,,,
14-May-03,May,14,United States,220,0,35,,,,,
15-May-03,May,15,United States,220,0,35,,,,,
16-May-03,May,16,United States,220,0,34,,,,,
17-May-03,May,17,United States,220,0,34,,,,,
19-May-03,May,19,United States,220,0,34,,,,,
20-May-03,May,20,United States,220,0,34,,,,,
21-May-03,May,21,United States,220,0,33,,,,,
22-May-03,May,22,United States,220,0,33,,,,,
23-May-03,May,23,United States,220,0,33,,,,,
24-May-03,May,24,United States,220,0,33,,,,,
26-May-03,May,26,United States,220,0,33,,,,,
27-May-03,May,27,United States,220,0,32,,,,,
28-May-03,May,28,United States,220,0,32,,,,,
29-May-03,May,29,United States,220,0,32,,,,,
30-May-03,May,30,United States,220,0,32,,,,,
31-May-03,May,31,United States,220,0,32,,,,,
2-Jun-03,June,2,United States,220,0,32,,,,,
3-Jun-03,June,3,United States,220,0,33,,,,,
4-Jun-03,June,4,United States,220,0,34,,,,,
5-Jun-03,June,5,United States,220,0,34,,,,,
6-Jun-03,June,6,United States,220,0,35,,,,,
9-Jun-03,June,9,United States,220,0,35,,,,,
10-Jun-03,June,10,United States,220,0,36,,,,,
11-Jun-03,June,11,United States,220,0,36,,,,,
12-Jun-03,June,12,United States,220,0,36,,,,,
13-Jun-03,June,13,United States,220,0,36,,,,,
16-Jun-03,June,16,United States,220,0,36,,,,,
17-Jun-03,June,17,United States,220,0,36,,,,,
18-Jun-03,June,18,United States,220,0,36,,,,,
19-Jun-03,June,19,United States,220,0,36,,,,,
20-Jun-03,June,20,United States,220,0,36,,,,,
23-Jun-03,June,23,United States,220,0,36,,,,,
24-Jun-03,June,24,United States,220,0,36,,,,,
25-Jun-03,June,25,United States,220,0,36,,,,,
26-Jun-03,June,26,United States,220,0,36,,,,,
27-Jun-03,June,27,United States,220,0,64,,,,,
30-Jun-03,June,30,United States,220,0,63,,,,,
1-Jul-03,July,1,United States,220,0,63,,,,,
2-Jul-03,July,2,United States,220,0,63,,,,,
3-Jul-03,July,3,United States,220,0,65,,,,,
4-Jul-03,July,4,United States,220,0,65,,,,,
7-Jul-03,July,7,United States,220,0,65,,,,,
8-Jul-03,July,8,United States,220,0,64,,,,,
9-Jul-03,July,9,United States,220,0,67,,,,,
10-Jul-03,July,10,United States,220,0,67,,,,,
11-Jul-03,July,11,United States,220,0,67,,,,,
