Date,Month ,Day,Country,Cumulative number of case(s),Number of deaths,Number recovered
"June 4, 2003",June,4,Kuwait,1,0,1
"June 5, 2003",June,5,Kuwait,1,0,1
"June 6, 2003",June,6,Kuwait,1,0,1
"June 9, 2003",June,9,Kuwait,1,0,1
"June 10, 2003",June,10,Kuwait,1,0,1
"June 11, 2003",June,11,Kuwait,1,0,1
"June 12, 2003",June,12,Kuwait,1,0,1
"June 13, 2003",June,13,Kuwait,1,0,1
"June 16, 2003",June,16,Kuwait,1,0,1
"June 17, 2003",June,17,Kuwait,1,0,1
"June 18, 2003",June,18,Kuwait,1,0,1
"June 19, 2003",June,19,Kuwait,1,0,1
"June 20, 2003",June,20,Kuwait,1,0,1
"June 23, 2003",June,23,Kuwait,1,0,1
"June 24, 2003",June,24,Kuwait,1,0,1
"June 25, 2003",June,25,Kuwait,1,0,1
"June 26, 2003",June,26,Kuwait,1,0,1
"June 27, 2003",June,27,Kuwait,1,0,1
"June 30, 2003",June,30,Kuwait,1,0,1
"July 1, 2003",July,1,Kuwait,1,0,1
"July 2, 2003",July,2,Kuwait,1,0,1
"July 3, 2003",July,3,Kuwait,1,0,1
"July 4, 2003",July,4,Kuwait,1,0,1
"July 7, 2003",July,7,Kuwait,1,0,1
"July 8, 2003",July,8,Kuwait,1,0,1
"July 9, 2003",July,9,Kuwait,1,0,1
"July 10, 2003",July,10,Kuwait,1,0,1
"July 11, 2003",July,11,Kuwait,1,0,1
"April 30, 2003",April,30,"Macao SAR, China",1,0,0
"May 1, 2003",May,1,"Macao SAR, China",1,0,0
"May 2, 2003",May,2,"Macao SAR, China",1,0,0
"May 3, 2003",May,3,"Macao SAR, China",1,0,0
"May 5, 2003",May,5,"Macao SAR, China",1,0,0
"May 6, 2003",May,6,"Macao SAR, China",1,0,0
"May 7, 2003",May,7,"Macao SAR, China",1,0,0
"May 8, 2003",May,8,"Macao SAR, China",1,0,0
"May 9, 2003",May,9,"Macao SAR, China",1,0,0
"May 10, 2003",May,10,"Macao SAR, China",1,0,0
"May 12, 2003",May,12,"Macao SAR, China",1,0,0
"May 13, 2003",May,13,"Macao SAR, China",1,0,0
"May 14, 2003",May,14,"Macao SAR, China",1,0,0
"May 15, 2003",May,15,"Macao SAR, China",1,0,0
"May 16, 2003",May,16,"Macao SAR, China",1,0,0
"May 17, 2003",May,17,"Macao SAR, China",1,0,0
"May 19, 2003",May,19,"Macao SAR, China",1,0,0
"May 20, 2003",May,20,"Macao SAR, China",1,0,0
"May 21, 2003",May,21,"Macao SAR, China",1,0,0
"May 22, 2003",May,22,"Macao SAR, China",2,0,0
"May 23, 2003",May,23,"Macao SAR, China",2,0,0
"May 24, 2003",May,24,"Macao SAR, China",2,0,0
"May 26, 2003",May,26,"Macao SAR, China",2,0,0
"May 27, 2003",May,27,"Macao SAR, China",2,0,0
"May 28, 2003",May,28,"Macao SAR, China",2,0,0
"May 29, 2003",May,29,"Macao SAR, China",1,0,0
"May 30, 2003",May,30,"Macao SAR, China",1,0,0
"May 31, 2003",May,31,"Macao SAR, China",1,0,0
"June 2, 2003",June,2,"Macao SAR, China",1,0,1
"June 3, 2003",June,3,"Macao SAR, China",1,0,1
"June 4, 2003",June,4,"Macao SAR, China",1,0,1
"June 5, 2003",June,5,"Macao SAR, China",1,0,1
"June 6, 2003",June,6,"Macao SAR, China",1,0,1
"June 9, 2003",June,9,"Macao SAR, China",1,0,1
"June 10, 2003",June,10,"Macao SAR, China",1,0,1
"June 11, 2003",June,11,"Macao SAR, China",1,0,1
"June 12, 2003",June,12,"Macao SAR, China",1,0,1
"June 13, 2003",June,13,"Macao SAR, China",1,0,1
"June 16, 2003",June,16,"Macao SAR, China",1,0,1
"June 17, 2003",June,17,"Macao SAR, China",1,0,1
"June 18, 2003",June,18,"Macao SAR, China",1,0,1
"June 19, 2003",June,19,"Macao SAR, China",1,0,1
"June 20, 2003",June,20,"Macao SAR, China",1,0,1
"June 23, 2003",June,23,"Macao SAR, China",1,0,1
"June 24, 2003",June,24,"Macao SAR, China",1,0,1
"June 25, 2003",June,25,"Macao SAR, China",1,0,1
"June 26, 2003",June,26,"Macao SAR, China",1,0,1
"June 27, 2003",June,27,"Macao SAR, China",1,0,1
"June 30, 2003",June,30,"Macao SAR, China",1,0,1
"July 1, 2003",July,1,"Macao SAR, China",1,0,1
"July 2, 2003",July,2,"Macao SAR, China",1,0,1
"July 3, 2003",July,3,"Macao SAR, China",1,0,1
"July 4, 2003",July,4,"Macao SAR, China",1,0,1
"July 7, 2003",July,7,"Macao SAR, China",1,0,1
"July 8, 2003",July,8,"Macao SAR, China",1,0,1
"July 9, 2003",July,9,"Macao SAR, China",1,0,1
"July 10, 2003",July,10,"Macao SAR, China",1,0,1
"July 11, 2003",July,11,"Macao SAR, China",1,0,1
"April 5, 2003",April,5,Malaysia,1,1,0
"April 7, 2003",April,7,Malaysia,1,1,0
"April 8, 2003",April,8,Malaysia,1,1,0
"April 9, 2003",April,9,Malaysia,1,1,0
"April 10, 2003",April,10,Malaysia,3,1,0
"April 11, 2003",April,11,Malaysia,4,1,0
"April 12, 2003",April,12,Malaysia,4,1,0
"April 14, 2003",April,14,Malaysia,4,1,0
"April 15, 2003",April,15,Malaysia,4,1,0
"April 16, 2003",April,16,Malaysia,5,1,0
"April 17, 2003",April,17,Malaysia,5,1,0
"April 18, 2003",April,18,Malaysia,5,1,0
"April 19, 2003",April,19,Malaysia,5,1,0
"April 21, 2003",April,21,Malaysia,6,1,0
"April 22, 2003",April,22,Malaysia,6,1,0
"April 23, 2003",April,23,Malaysia,5,2,2
"April 24, 2003",April,24,Malaysia,5,2,2
"April 25, 2003",April,25,Malaysia,5,2,2
"April 26, 2003",April,26,Malaysia,5,2,2
"April 28, 2003",April,28,Malaysia,6,2,2
"April 29, 2003",April,29,Malaysia,6,2,3
"April 30, 2003",April,30,Malaysia,6,2,3
"May 1, 2003",May,1,Malaysia,6,2,3
"May 2, 2003",May,2,Malaysia,6,2,3
"May 3, 2003",May,3,Malaysia,6,2,3
"May 5, 2003",May,5,Malaysia,7,2,4
"May 6, 2003",May,6,Malaysia,7,2,4
"May 7, 2003",May,7,Malaysia,7,2,4
"May 8, 2003",May,8,Malaysia,7,2,4
"May 9, 2003",May,9,Malaysia,6,2,4
"May 10, 2003",May,10,Malaysia,7,2,4
"May 12, 2003",May,12,Malaysia,7,2,4
"May 13, 2003",May,13,Malaysia,7,2,4
"May 14, 2003",May,14,Malaysia,7,2,5
"May 15, 2003",May,15,Malaysia,7,2,5
"May 16, 2003",May,16,Malaysia,7,2,5
"May 17, 2003",May,17,Malaysia,7,2,5
"May 19, 2003",May,19,Malaysia,7,2,5
"May 20, 2003",May,20,Malaysia,7,2,5
"May 21, 2003",May,21,Malaysia,8,2,5
"May 22, 2003",May,22,Malaysia,8,2,5
"May 23, 2003",May,23,Malaysia,8,2,5
"May 24, 2003",May,24,Malaysia,8,2,5
"May 26, 2003",May,26,Malaysia,5,2,3
"May 27, 2003",May,27,Malaysia,5,2,3
"May 28, 2003",May,28,Malaysia,5,2,3
"May 29, 2003",May,29,Malaysia,5,2,3
"May 30, 2003",May,30,Malaysia,5,2,3
"May 31, 2003",May,31,Malaysia,5,2,3
"June 2, 2003",June,2,Malaysia,5,2,3
"June 3, 2003",June,3,Malaysia,5,2,3
"June 4, 2003",June,4,Malaysia,5,2,3
"June 5, 2003",June,5,Malaysia,5,2,3
"June 6, 2003",June,6,Malaysia,5,2,3
"June 9, 2003",June,9,Malaysia,5,2,3
"June 10, 2003",June,10,Malaysia,5,2,3
"June 11, 2003",June,11,Malaysia,5,2,3
"June 12, 2003",June,12,Malaysia,5,2,3
"June 13, 2003",June,13,Malaysia,5,2,3
"June 16, 2003",June,16,Malaysia,5,2,3
"June 17, 2003",June,17,Malaysia,5,2,3
"June 18, 2003",June,18,Malaysia,5,2,3
"June 19, 2003",June,19,Malaysia,5,2,3
"June 20, 2003",June,20,Malaysia,5,2,3
"June 23, 2003",June,23,Malaysia,5,2,3
"June 24, 2003",June,24,Malaysia,5,2,3
"June 25, 2003",June,25,Malaysia,5,2,3
"June 26, 2003",June,26,Malaysia,5,2,3
"June 27, 2003",June,27,Malaysia,5,2,3
"June 30, 2003",June,30,Malaysia,5,2,3
"July 1, 2003",July,1,Malaysia,5,2,3
"July 2, 2003",July,2,Malaysia,5,2,3
"July 3, 2003",July,3,Malaysia,5,2,3
"July 4, 2003",July,4,Malaysia,5,2,3
"July 7, 2003",July,7,Malaysia,5,2,3
"July 8, 2003",July,8,Malaysia,5,2,3
"July 9, 2003",July,9,Malaysia,5,2,3
"July 10, 2003",July,10,Malaysia,5,2,3
"July 11, 2003",July,11,Malaysia,5,2,3
"April 17, 2003",April,17,Mongolia,3,0,3
"April 18, 2003",April,18,Mongolia,3,0,3
"April 19, 2003",April,19,Mongolia,3,0,3
"April 21, 2003",April,21,Mongolia,3,0,3
"April 22, 2003",April,22,Mongolia,3,0,3
"April 23, 2003",April,23,Mongolia,3,0,3
"April 24, 2003",April,24,Mongolia,3,0,3
"April 25, 2003",April,25,Mongolia,3,0,3
"April 26, 2003",April,26,Mongolia,5,0,3
"April 28, 2003",April,28,Mongolia,5,0,3
"April 29, 2003",April,29,Mongolia,5,0,3
"April 30, 2003",April,30,Mongolia,6,0,3
"May 1, 2003",May,1,Mongolia,6,0,3
"May 2, 2003",May,2,Mongolia,8,0,4
"May 3, 2003",May,3,Mongolia,8,0,4
"May 5, 2003",May,5,Mongolia,8,0,4
"May 6, 2003",May,6,Mongolia,8,0,4
"May 7, 2003",May,7,Mongolia,9,0,6
"May 8, 2003",May,8,Mongolia,9,0,6
"May 9, 2003",May,9,Mongolia,9,0,6
"May 10, 2003",May,10,Mongolia,9,0,6
"May 12, 2003",May,12,Mongolia,9,0,6
"May 13, 2003",May,13,Mongolia,9,0,6
"May 14, 2003",May,14,Mongolia,9,0,6
"May 15, 2003",May,15,Mongolia,9,0,7
"May 16, 2003",May,16,Mongolia,9,0,7
"May 17, 2003",May,17,Mongolia,9,0,7
"May 19, 2003",May,19,Mongolia,9,0,8
"May 20, 2003",May,20,Mongolia,9,0,8
"May 21, 2003",May,21,Mongolia,9,0,8
"May 22, 2003",May,22,Mongolia,9,0,8
"May 23, 2003",May,23,Mongolia,9,0,8
"May 24, 2003",May,24,Mongolia,9,0,8
"May 26, 2003",May,26,Mongolia,9,0,8
"May 27, 2003",May,27,Mongolia,9,0,9
"May 28, 2003",May,28,Mongolia,9,0,9
"May 29, 2003",May,29,Mongolia,9,0,9
"May 30, 2003",May,30,Mongolia,9,0,9
"May 31, 2003",May,31,Mongolia,9,0,9
"June 2, 2003",June,2,Mongolia,9,0,9
"June 3, 2003",June,3,Mongolia,9,0,9
"June 4, 2003",June,4,Mongolia,9,0,9
"June 5, 2003",June,5,Mongolia,9,0,9
"June 6, 2003",June,6,Mongolia,9,0,9
"June 9, 2003",June,9,Mongolia,9,0,9
"June 10, 2003",June,10,Mongolia,9,0,9
"June 11, 2003",June,11,Mongolia,9,0,9
"June 12, 2003",June,12,Mongolia,9,0,9
"June 13, 2003",June,13,Mongolia,9,0,9
"June 16, 2003",June,16,Mongolia,9,0,9
"June 17, 2003",June,17,Mongolia,9,0,9
"June 18, 2003",June,18,Mongolia,9,0,9
"June 19, 2003",June,19,Mongolia,9,0,9
"June 20, 2003",June,20,Mongolia,9,0,9
"June 23, 2003",June,23,Mongolia,9,0,9
"June 24, 2003",June,24,Mongolia,9,0,9
"June 25, 2003",June,25,Mongolia,9,0,9
"June 26, 2003",June,26,Mongolia,9,0,9
"June 27, 2003",June,27,Mongolia,9,0,9
"June 30, 2003",June,30,Mongolia,9,0,9
"July 1, 2003",July,1,Mongolia,9,0,9
"July 2, 2003",July,2,Mongolia,9,0,9
"July 3, 2003",July,3,Mongolia,9,0,9
"July 4, 2003",July,4,Mongolia,9,0,9
"July 7, 2003",July,7,Mongolia,9,0,9
"July 8, 2003",July,8,Mongolia,9,0,9
"July 9, 2003",July,9,Mongolia,9,0,9
"July 10, 2003",July,10,Mongolia,9,0,9
"July 11, 2003",July,11,Mongolia,9,0,9
"May 2, 2003",May,2,New Zealand,1,0,1
"May 3, 2003",May,3,New Zealand,1,0,1
"May 5, 2003",May,5,New Zealand,1,0,1
"May 6, 2003",May,6,New Zealand,1,0,1
"May 7, 2003",May,7,New Zealand,1,0,1
"May 8, 2003",May,8,New Zealand,1,0,1
"May 9, 2003",May,9,New Zealand,1,0,1
"May 10, 2003",May,10,New Zealand,1,0,1
"May 12, 2003",May,12,New Zealand,1,0,1
"May 13, 2003",May,13,New Zealand,1,0,1
"May 14, 2003",May,14,New Zealand,1,0,1
"May 15, 2003",May,15,New Zealand,1,0,1
"May 16, 2003",May,16,New Zealand,1,0,1
"May 17, 2003",May,17,New Zealand,1,0,1
"May 19, 2003",May,19,New Zealand,1,0,1
"May 20, 2003",May,20,New Zealand,1,0,1
"May 21, 2003",May,21,New Zealand,1,0,1
"May 22, 2003",May,22,New Zealand,1,0,1
"May 23, 2003",May,23,New Zealand,1,0,1
"May 24, 2003",May,24,New Zealand,1,0,1
"May 26, 2003",May,26,New Zealand,1,0,1
"May 27, 2003",May,27,New Zealand,1,0,1
"May 28, 2003",May,28,New Zealand,1,0,1
"May 29, 2003",May,29,New Zealand,1,0,1
"May 30, 2003",May,30,New Zealand,1,0,1
"May 31, 2003",May,31,New Zealand,1,0,1
"June 2, 2003",June,2,New Zealand,1,0,1
"June 3, 2003",June,3,New Zealand,1,0,1
"June 4, 2003",June,4,New Zealand,1,0,1
"June 5, 2003",June,5,New Zealand,1,0,1
"June 6, 2003",June,6,New Zealand,1,0,1
"June 9, 2003",June,9,New Zealand,1,0,1
"June 10, 2003",June,10,New Zealand,1,0,1
"June 11, 2003",June,11,New Zealand,1,0,1
"June 12, 2003",June,12,New Zealand,1,0,1
"June 13, 2003",June,13,New Zealand,1,0,1
"June 16, 2003",June,16,New Zealand,1,0,1
"June 17, 2003",June,17,New Zealand,1,0,1
"June 18, 2003",June,18,New Zealand,1,0,1
"June 19, 2003",June,19,New Zealand,1,0,1
"June 20, 2003",June,20,New Zealand,1,0,1
"June 23, 2003",June,23,New Zealand,1,0,1
"June 24, 2003",June,24,New Zealand,1,0,1
"June 25, 2003",June,25,New Zealand,1,0,1
"June 26, 2003",June,26,New Zealand,1,0,1
"June 27, 2003",June,27,New Zealand,1,0,1
"June 30, 2003",June,30,New Zealand,1,0,1
"July 1, 2003",July,1,New Zealand,1,0,1
"July 2, 2003",July,2,New Zealand,1,0,1
"July 3, 2003",July,3,New Zealand,1,0,1
"July 4, 2003",July,4,New Zealand,1,0,1
"July 7, 2003",July,7,New Zealand,1,0,1
"July 8, 2003",July,8,New Zealand,1,0,1
"July 9, 2003",July,9,New Zealand,1,0,1
"July 10, 2003",July,10,New Zealand,1,0,1
"July 11, 2003",July,11,New Zealand,1,0,1
"April 14, 2003",April,14,Philippines,1,0,1
"April 15, 2003",April,15,Philippines,1,0,1
"April 16, 2003",April,16,Philippines,1,0,1
"April 17, 2003",April,17,Philippines,1,0,1
"April 18, 2003",April,18,Philippines,1,0,1
"April 19, 2003",April,19,Philippines,1,0,1
"April 21, 2003",April,21,Philippines,2,1,1
"April 22, 2003",April,22,Philippines,2,1,1
"April 23, 2003",April,23,Philippines,2,1,1
"April 24, 2003",April,24,Philippines,2,1,1
"April 25, 2003",April,25,Philippines,2,1,1
"April 26, 2003",April,26,Philippines,4,2,1
"April 28, 2003",April,28,Philippines,4,2,1
"April 29, 2003",April,29,Philippines,4,2,1
"April 30, 2003",April,30,Philippines,4,2,1
"May 1, 2003",May,1,Philippines,4,2,1
"May 2, 2003",May,2,Philippines,3,2,1
"May 3, 2003",May,3,Philippines,3,2,1
"May 5, 2003",May,5,Philippines,3,2,1
"May 6, 2003",May,6,Philippines,3,2,1
"May 7, 2003",May,7,Philippines,10,2,2
"May 8, 2003",May,8,Philippines,10,2,2
"May 9, 2003",May,9,Philippines,10,2,2
"May 10, 2003",May,10,Philippines,10,2,2
"May 12, 2003",May,12,Philippines,10,2,3
"May 13, 2003",May,13,Philippines,10,2,3
"May 14, 2003",May,14,Philippines,10,2,3
"May 15, 2003",May,15,Philippines,12,2,4
"May 16, 2003",May,16,Philippines,12,2,4
"May 17, 2003",May,17,Philippines,12,2,4
"May 19, 2003",May,19,Philippines,12,2,8
"May 20, 2003",May,20,Philippines,12,2,8
"May 21, 2003",May,21,Philippines,12,2,10
"May 22, 2003",May,22,Philippines,12,2,10
"May 23, 2003",May,23,Philippines,12,2,10
"May 24, 2003",May,24,Philippines,12,2,10
"May 26, 2003",May,26,Philippines,12,2,10
"May 27, 2003",May,27,Philippines,12,2,10
"May 28, 2003",May,28,Philippines,12,2,10
"May 29, 2003",May,29,Philippines,12,2,10
"May 30, 2003",May,30,Philippines,12,2,10
"May 31, 2003",May,31,Philippines,12,2,10
"June 2, 2003",June,2,Philippines,12,2,10
"June 3, 2003",June,3,Philippines,12,2,10
"June 4, 2003",June,4,Philippines,12,2,10
"June 5, 2003",June,5,Philippines,12,2,10
"June 6, 2003",June,6,Philippines,12,2,10
"June 9, 2003",June,9,Philippines,12,2,10
"June 10, 2003",June,10,Philippines,12,2,10
"June 11, 2003",June,11,Philippines,12,2,10
"June 12, 2003",June,12,Philippines,14,2,12
"June 13, 2003",June,13,Philippines,14,2,12
"June 16, 2003",June,16,Philippines,14,2,12
"June 17, 2003",June,17,Philippines,14,2,12
"June 18, 2003",June,18,Philippines,14,2,12
"June 19, 2003",June,19,Philippines,14,2,12
"June 20, 2003",June,20,Philippines,14,2,12
"June 23, 2003",June,23,Philippines,14,2,12
"June 24, 2003",June,24,Philippines,14,2,12
"June 25, 2003",June,25,Philippines,14,2,12
"June 26, 2003",June,26,Philippines,14,2,12
"June 27, 2003",June,27,Philippines,14,2,12
"June 30, 2003",June,30,Philippines,14,2,12
"July 1, 2003",July,1,Philippines,14,2,12
"July 2, 2003",July,2,Philippines,14,2,12
"July 3, 2003",July,3,Philippines,14,2,12
"July 4, 2003",July,4,Philippines,14,2,12
"July 7, 2003",July,7,Philippines,14,2,12
"July 8, 2003",July,8,Philippines,14,2,12
"July 9, 2003",July,9,Philippines,14,2,12
"July 10, 2003",July,10,Philippines,14,2,12
"July 11, 2003",July,11,Philippines,14,2,12
"May 1, 2003",May,1,Poland,1,0,0
"May 2, 2003",May,2,Poland,1,0,0
"May 3, 2003",May,3,Poland,1,0,0
"May 5, 2003",May,5,Poland,1,0,0
"May 6, 2003",May,6,Poland,1,0,0
"May 7, 2003",May,7,Poland,1,0,0
"May 8, 2003",May,8,Poland,1,0,0
"May 9, 2003",May,9,Poland,1,0,0
"May 10, 2003",May,10,Poland,1,0,0
"May 12, 2003",May,12,Poland,1,0,0
"March 21, 2003",March,21,Republic of Ireland,1,0,0
"March 22, 2003",March,22,Republic of Ireland,1,0,0
"March 24, 2003",March,24,Republic of Ireland,1,0,0
"March 25, 2003",March,25,Republic of Ireland,1,0,0
"March 26, 2003",March,26,Republic of Ireland,2,0,0
"March 27, 2003",March,27,Republic of Ireland,2,0,0
"March 28, 2003",March,28,Republic of Ireland,2,0,0
"March 29, 2003",March,29,Republic of Ireland,2,0,0
"March 31, 2003",March,31,Republic of Ireland,2,0,0
"April 1, 2003",April,1,Republic of Ireland,2,0,0
"April 2, 2003",April,2,Republic of Ireland,2,0,0
"April 3, 2003",April,3,Republic of Ireland,1,0,0
"April 4, 2003",April,4,Republic of Ireland,1,0,0
"April 5, 2003",April,5,Republic of Ireland,1,0,0
"April 7, 2003",April,7,Republic of Ireland,1,0,0
"April 8, 2003",April,8,Republic of Ireland,1,0,0
"April 9, 2003",April,9,Republic of Ireland,1,0,0
"April 10, 2003",April,10,Republic of Ireland,1,0,1
"April 11, 2003",April,11,Republic of Ireland,1,0,1
"April 12, 2003",April,12,Republic of Ireland,1,0,1
"April 14, 2003",April,14,Republic of Ireland,1,0,1
"April 15, 2003",April,15,Republic of Ireland,1,0,1
"April 16, 2003",April,16,Republic of Ireland,1,0,1
"April 17, 2003",April,17,Republic of Ireland,1,0,1
"April 18, 2003",April,18,Republic of Ireland,1,0,1
"April 19, 2003",April,19,Republic of Ireland,1,0,1
"April 21, 2003",April,21,Republic of Ireland,1,0,1
"April 22, 2003",April,22,Republic of Ireland,1,0,1
"April 23, 2003",April,23,Republic of Ireland,1,0,1
"April 24, 2003",April,24,Republic of Ireland,1,0,1
"April 25, 2003",April,25,Republic of Ireland,1,0,1
"April 26, 2003",April,26,Republic of Ireland,1,0,1
"April 28, 2003",April,28,Republic of Ireland,1,0,1
"April 29, 2003",April,29,Republic of Ireland,1,0,1
"April 30, 2003",April,30,Republic of Ireland,1,0,1
"May 1, 2003",May,1,Republic of Ireland,1,0,1
"May 2, 2003",May,2,Republic of Ireland,1,0,1
"May 3, 2003",May,3,Republic of Ireland,1,0,1
"May 5, 2003",May,5,Republic of Ireland,1,0,1
"May 6, 2003",May,6,Republic of Ireland,1,0,1
"May 7, 2003",May,7,Republic of Ireland,1,0,1
"May 8, 2003",May,8,Republic of Ireland,1,0,1
"May 9, 2003",May,9,Republic of Ireland,1,0,1
"May 10, 2003",May,10,Republic of Ireland,1,0,1
"May 12, 2003",May,12,Republic of Ireland,1,0,1
"May 13, 2003",May,13,Republic of Ireland,1,0,1
"May 14, 2003",May,14,Republic of Ireland,1,0,1
"May 15, 2003",May,15,Republic of Ireland,1,0,1
"May 16, 2003",May,16,Republic of Ireland,1,0,1
"May 17, 2003",May,17,Republic of Ireland,1,0,1
"May 19, 2003",May,19,Republic of Ireland,1,0,1
"May 20, 2003",May,20,Republic of Ireland,1,0,1
"May 21, 2003",May,21,Republic of Ireland,1,0,1
"May 22, 2003",May,22,Republic of Ireland,1,0,1
"May 23, 2003",May,23,Republic of Ireland,1,0,1
"May 24, 2003",May,24,Republic of Ireland,1,0,1
"May 26, 2003",May,26,Republic of Ireland,1,0,1
"May 27, 2003",May,27,Republic of Ireland,1,0,1
"May 28, 2003",May,28,Republic of Ireland,1,0,1
"May 29, 2003",May,29,Republic of Ireland,1,0,1
"May 30, 2003",May,30,Republic of Ireland,1,0,1
"May 31, 2003",May,31,Republic of Ireland,1,0,1
"June 2, 2003",June,2,Republic of Ireland,1,0,1
"June 3, 2003",June,3,Republic of Ireland,1,0,1
"June 4, 2003",June,4,Republic of Ireland,1,0,1
"June 5, 2003",June,5,Republic of Ireland,1,0,1
"June 6, 2003",June,6,Republic of Ireland,1,0,1
"June 9, 2003",June,9,Republic of Ireland,1,0,1
"June 10, 2003",June,10,Republic of Ireland,1,0,1
"June 11, 2003",June,11,Republic of Ireland,1,0,1
"June 12, 2003",June,12,Republic of Ireland,1,0,1
"June 13, 2003",June,13,Republic of Ireland,1,0,1
"June 16, 2003",June,16,Republic of Ireland,1,0,1
"June 17, 2003",June,17,Republic of Ireland,1,0,1
"June 18, 2003",June,18,Republic of Ireland,1,0,1
"June 19, 2003",June,19,Republic of Ireland,1,0,1
"June 20, 2003",June,20,Republic of Ireland,1,0,1
"June 23, 2003",June,23,Republic of Ireland,1,0,1
"June 24, 2003",June,24,Republic of Ireland,1,0,1
"June 25, 2003",June,25,Republic of Ireland,1,0,1
"June 26, 2003",June,26,Republic of Ireland,1,0,1
"June 27, 2003",June,27,Republic of Ireland,1,0,1
"June 30, 2003",June,30,Republic of Ireland,1,0,1
"July 1, 2003",July,1,Republic of Ireland,1,0,1
"July 2, 2003",July,2,Republic of Ireland,1,0,1
"July 3, 2003",July,3,Republic of Ireland,1,0,1
"July 4, 2003",July,4,Republic of Ireland,1,0,1
"July 7, 2003",July,7,Republic of Ireland,1,0,1
"July 8, 2003",July,8,Republic of Ireland,1,0,1
"July 9, 2003",July,9,Republic of Ireland,1,0,1
"July 10, 2003",July,10,Republic of Ireland,1,0,1
"July 11, 2003",July,11,Republic of Ireland,1,0,1
"April 29, 2003",April,29,Republic of Korea,1,0,0
"April 30, 2003",April,30,Republic of Korea,1,0,0
"May 1, 2003",May,1,Republic of Korea,1,0,0
"May 2, 2003",May,2,Republic of Korea,1,0,0
"May 3, 2003",May,3,Republic of Korea,1,0,0
"May 5, 2003",May,5,Republic of Korea,1,0,0
"May 6, 2003",May,6,Republic of Korea,1,0,0
"May 7, 2003",May,7,Republic of Korea,1,0,0
"May 8, 2003",May,8,Republic of Korea,1,0,1
"May 9, 2003",May,9,Republic of Korea,1,0,1
"May 10, 2003",May,10,Republic of Korea,1,0,1
"May 12, 2003",May,12,Republic of Korea,2,0,1
"May 13, 2003",May,13,Republic of Korea,2,0,1
"May 14, 2003",May,14,Republic of Korea,3,0,1
"May 15, 2003",May,15,Republic of Korea,3,0,1
"May 16, 2003",May,16,Republic of Korea,3,0,1
"May 17, 2003",May,17,Republic of Korea,3,0,1
"May 19, 2003",May,19,Republic of Korea,3,0,1
"May 20, 2003",May,20,Republic of Korea,3,0,2
"May 21, 2003",May,21,Republic of Korea,3,0,2
"May 22, 2003",May,22,Republic of Korea,3,0,2
"May 23, 2003",May,23,Republic of Korea,3,0,2
"May 24, 2003",May,24,Republic of Korea,3,0,2
"May 26, 2003",May,26,Republic of Korea,3,0,2
"May 27, 2003",May,27,Republic of Korea,3,0,2
"May 28, 2003",May,28,Republic of Korea,3,0,2
"May 29, 2003",May,29,Republic of Korea,3,0,2
"May 30, 2003",May,30,Republic of Korea,3,0,3
"May 31, 2003",May,31,Republic of Korea,3,0,3
"June 2, 2003",June,2,Republic of Korea,3,0,3
"June 3, 2003",June,3,Republic of Korea,3,0,3
"June 4, 2003",June,4,Republic of Korea,3,0,3
"June 5, 2003",June,5,Republic of Korea,3,0,3
"June 6, 2003",June,6,Republic of Korea,3,0,3
"June 9, 2003",June,9,Republic of Korea,3,0,3
"June 10, 2003",June,10,Republic of Korea,3,0,3
"June 11, 2003",June,11,Republic of Korea,3,0,3
"June 12, 2003",June,12,Republic of Korea,3,0,3
"June 13, 2003",June,13,Republic of Korea,3,0,3
"June 16, 2003",June,16,Republic of Korea,3,0,3
"June 17, 2003",June,17,Republic of Korea,3,0,3
"June 18, 2003",June,18,Republic of Korea,3,0,3
"June 19, 2003",June,19,Republic of Korea,3,0,3
"June 20, 2003",June,20,Republic of Korea,3,0,3
"June 23, 2003",June,23,Republic of Korea,3,0,3
"June 24, 2003",June,24,Republic of Korea,3,0,3
"June 25, 2003",June,25,Republic of Korea,3,0,3
"June 26, 2003",June,26,Republic of Korea,3,0,3
"June 27, 2003",June,27,Republic of Korea,3,0,3
"June 30, 2003",June,30,Republic of Korea,3,0,3
"July 1, 2003",July,1,Republic of Korea,3,0,3
"July 2, 2003",July,2,Republic of Korea,3,0,3
"July 3, 2003",July,3,Republic of Korea,3,0,3
"July 4, 2003",July,4,Republic of Korea,3,0,3
"July 7, 2003",July,7,Republic of Korea,3,0,3
"July 8, 2003",July,8,Republic of Korea,3,0,3
"July 9, 2003",July,9,Republic of Korea,3,0,3
"July 10, 2003",July,10,Republic of Korea,3,0,3
"July 11, 2003",July,11,Republic of Korea,3,0,3
"March 27, 2003",March,27,Romania,3,0,0
"March 28, 2003",March,28,Romania,3,0,0
"March 29, 2003",March,29,Romania,3,0,0
"March 31, 2003",March,31,Romania,3,0,0
"April 1, 2003",April,1,Romania,3,0,0
"April 2, 2003",April,2,Romania,3,0,0
"April 3, 2003",April,3,Romania,1,0,0
"April 4, 2003",April,4,Romania,1,0,0
"April 5, 2003",April,5,Romania,1,0,0
"April 7, 2003",April,7,Romania,1,0,0
"April 8, 2003",April,8,Romania,1,0,0
"April 9, 2003",April,9,Romania,1,0,0
"April 10, 2003",April,10,Romania,1,0,0
"April 11, 2003",April,11,Romania,1,0,0
"April 12, 2003",April,12,Romania,1,0,0
